Amplitude,Rise Time,Turns,Phase,Baseline Crossing,Duration
486.0,1715940280.1412632,1,-1.1205673217773438e-05,1715940280.1412904,2.1457672119140625e-06
487.0,1715940280.1932523,1,-1.6450881958007812e-05,1715940280.1932914,2.384185791015625e-06
484.0,1715940280.2414873,1,-1.4543533325195312e-05,1715940280.2415175,2.384185791015625e-06
484.0,1715940280.2917078,1,-1.2874603271484375e-05,1715940280.2917392,1.9073486328125e-06
484.0,1715940280.3418453,1,-1.5735626220703125e-05,1715940280.341877,2.384185791015625e-06
488.0,1715940280.3921819,1,-1.5497207641601562e-05,1715940280.3922136,2.1457672119140625e-06
486.0,1715940280.4421136,1,-1.52587890625e-05,1715940280.4421449,2.1457672119140625e-06
487.0,1715940280.4923582,1,-1.2159347534179688e-05,1715940280.492388,2.384185791015625e-06
489.0,1715940280.54237,1,-1.049041748046875e-05,1715940280.5423923,2.1457672119140625e-06
492.0,1715940280.5937784,1,-8.821487426757812e-06,1715940280.593802,1.9073486328125e-06
498.0,1715940280.6438272,1,-9.298324584960938e-06,1715940280.6438503,1.6689300537109375e-06
505.0,1715940280.6940074,1,-1.0967254638671875e-05,1715940280.6940305,1.9073486328125e-06
509.0,1715940280.744226,1,-9.775161743164062e-06,1715940280.7442472,2.1457672119140625e-06
522.0,1715940280.794307,1,-1.0728836059570312e-05,1715940280.7943294,1.6689300537109375e-06
519.0,1715940280.8444524,1,-1.0728836059570312e-05,1715940280.844475,1.9073486328125e-06
532.0,1715940280.894535,1,-1.1205673217773438e-05,1715940280.8945577,2.1457672119140625e-06
535.0,1715940280.9446316,1,-9.298324584960938e-06,1715940280.9446557,1.6689300537109375e-06
545.0,1715940280.994898,1,-8.58306884765625e-06,1715940280.994922,2.1457672119140625e-06
549.0,1715940281.0449781,1,-9.298324584960938e-06,1715940281.0450017,2.1457672119140625e-06
555.0,1715940281.0951695,1,-1.049041748046875e-05,1715940281.0951912,1.9073486328125e-06
563.0,1715940281.1464615,1,-9.775161743164062e-06,1715940281.146484,2.1457672119140625e-06
578.0,1715940281.1966774,1,-9.298324584960938e-06,1715940281.1967006,1.9073486328125e-06
583.0,1715940281.2464395,1,-5.0067901611328125e-06,1715940281.2464528,7.152557373046875e-07
595.0,1715940281.2965703,1,-5.4836273193359375e-06,1715940281.2965825,1.1920928955078125e-06
601.0,1715940281.3466587,1,-6.4373016357421875e-06,1715940281.3466723,7.152557373046875e-07
608.0,1715940281.3968277,1,-6.67572021484375e-06,1715940281.396841,7.152557373046875e-07
614.0,1715940281.447211,1,-9.298324584960938e-06,1715940281.4472349,1.6689300537109375e-06
627.0,1715940281.4974072,1,-1.0967254638671875e-05,1715940281.49743,1.6689300537109375e-06
632.0,1715940281.5486946,1,-9.298324584960938e-06,1715940281.5487173,1.9073486328125e-06
652.0,1715940281.5989273,1,-1.0251998901367188e-05,1715940281.5989516,1.9073486328125e-06
650.0,1715940281.6489923,1,-1.0967254638671875e-05,1715940281.6490152,1.9073486328125e-06
669.0,1715940281.6991363,1,-1.0967254638671875e-05,1715940281.6991594,1.6689300537109375e-06
669.0,1715940281.7492692,1,-1.1205673217773438e-05,1715940281.7492926,1.9073486328125e-06
681.0,1715940281.7994065,1,-1.0967254638671875e-05,1715940281.7994297,1.9073486328125e-06
691.0,1715940281.849498,1,-8.821487426757812e-06,1715940281.8495216,2.1457672119140625e-06
700.0,1715940281.8996763,1,-9.5367431640625e-06,1715940281.8996978,1.6689300537109375e-06
709.0,1715940281.9497116,1,-8.821487426757812e-06,1715940281.9497344,1.6689300537109375e-06
718.0,1715940282.0011446,1,-9.298324584960938e-06,1715940282.001168,1.9073486328125e-06
726.0,1715940282.0512345,1,-1.1444091796875e-05,1715940282.051258,1.9073486328125e-06
740.0,1715940282.1014128,1,-8.58306884765625e-06,1715940282.101437,1.9073486328125e-06
742.0,1715940282.1514862,1,-1.0728836059570312e-05,1715940282.1515088,1.6689300537109375e-06
751.0,1715940282.201654,1,-1.0728836059570312e-05,1715940282.2016768,1.6689300537109375e-06
763.0,1715940282.251729,1,-9.5367431640625e-06,1715940282.2517521,1.9073486328125e-06
773.0,1715940282.3018696,1,-1.0728836059570312e-05,1715940282.3018918,1.9073486328125e-06
775.0,1715940282.3520489,1,-1.0967254638671875e-05,1715940282.3520737,1.9073486328125e-06
781.0,1715940282.4034142,1,-9.059906005859375e-06,1715940282.4034379,1.6689300537109375e-06
784.0,1715940282.452454,1,-1.0728836059570312e-05,1715940282.4524772,1.6689300537109375e-06
789.0,1715940282.5037775,1,-9.298324584960938e-06,1715940282.5038006,1.9073486328125e-06
797.0,1715940282.5538526,1,-1.049041748046875e-05,1715940282.5538757,1.9073486328125e-06
811.0,1715940282.6040807,1,-9.298324584960938e-06,1715940282.6041055,1.430511474609375e-06
815.0,1715940282.6541328,1,-1.0013580322265625e-05,1715940282.654156,1.9073486328125e-06
824.0,1715940282.7044961,1,-9.5367431640625e-06,1715940282.7045202,1.9073486328125e-06
831.0,1715940282.7546308,1,-9.5367431640625e-06,1715940282.7546558,1.6689300537109375e-06
840.0,1715940282.8047783,1,-9.059906005859375e-06,1715940282.8048007,1.9073486328125e-06
838.0,1715940282.8548477,1,-9.059906005859375e-06,1715940282.854871,1.9073486328125e-06
838.0,1715940282.905181,1,-8.821487426757812e-06,1715940282.9052045,1.9073486328125e-06
843.0,1715940282.9552438,1,-9.059906005859375e-06,1715940282.9552681,1.430511474609375e-06
846.0,1715940283.0066214,1,-8.821487426757812e-06,1715940283.0066423,1.9073486328125e-06
839.0,1715940283.0556877,1,-1.049041748046875e-05,1715940283.0557103,1.6689300537109375e-06
849.0,1715940283.1071458,1,-8.58306884765625e-06,1715940283.1071663,1.6689300537109375e-06
841.0,1715940283.1572201,1,-9.5367431640625e-06,1715940283.1572413,2.1457672119140625e-06
843.0,1715940283.2073712,1,-8.344650268554688e-06,1715940283.2073917,1.430511474609375e-06
832.0,1715940283.2574475,1,-8.821487426757812e-06,1715940283.257468,1.430511474609375e-06
827.0,1715940283.307594,1,-8.821487426757812e-06,1715940283.3076162,2.6226043701171875e-06
817.0,1715940283.3576784,1,-1.7881393432617188e-05,1715940283.3577094,1.9073486328125e-06
812.0,1715940283.4078372,1,-1.049041748046875e-05,1715940283.4078588,1.9073486328125e-06
796.0,1715940283.4579701,1,-1.0967254638671875e-05,1715940283.4579926,1.6689300537109375e-06
788.0,1715940283.5082033,1,-1.0728836059570312e-05,1715940283.5082252,1.9073486328125e-06
781.0,1715940283.5583534,1,-1.0728836059570312e-05,1715940283.5583756,1.9073486328125e-06
776.0,1715940283.608534,1,-1.0728836059570312e-05,1715940283.6085572,1.9073486328125e-06
768.0,1715940283.659849,1,-8.58306884765625e-06,1715940283.6598728,1.9073486328125e-06
770.0,1715940283.7100017,1,-1.049041748046875e-05,1715940283.710024,1.9073486328125e-06
754.0,1715940283.7603104,1,-9.059906005859375e-06,1715940283.7603328,2.6226043701171875e-06
753.0,1715940283.810408,1,-1.0728836059570312e-05,1715940283.8104305,1.6689300537109375e-06
734.0,1715940283.8606446,1,-9.298324584960938e-06,1715940283.8606687,1.9073486328125e-06
728.0,1715940283.9107733,1,-1.0967254638671875e-05,1715940283.9107964,1.6689300537109375e-06
715.0,1715940283.9608731,1,-1.1205673217773438e-05,1715940283.9608963,1.9073486328125e-06
713.0,1715940284.0111852,1,-1.0967254638671875e-05,1715940284.0112154,1.9073486328125e-06
701.0,1715940284.0612721,1,-1.0967254638671875e-05,1715940284.0612953,1.9073486328125e-06
695.0,1715940284.1114457,1,-9.5367431640625e-06,1715940284.111471,1.6689300537109375e-06
678.0,1715940284.1614985,1,-9.059906005859375e-06,1715940284.161523,1.6689300537109375e-06
673.0,1715940284.2128732,1,-1.0728836059570312e-05,1715940284.2128963,1.6689300537109375e-06
655.0,1715940284.2630713,1,-1.0967254638671875e-05,1715940284.2630956,1.6689300537109375e-06
652.0,1715940284.3132288,1,-9.059906005859375e-06,1715940284.3132527,1.430511474609375e-06
